nom,dirigeant,adresse,code_postal,commune,departement,region,naf,siret,site_web,email,telephone,source
PHILIPPE DONCHEZ (DONCHEZ),PHILIPPE DONCHEZ (DONCHEZ),11 CHEMIN GARENNE DIT DE ROCHEFORT 95690 NESLES-LA-VALLEE,95690,NESLES-LA-VALLEE,95,Île-de-France,43.91A,53469474000018,,,,sirene
BOIS 2 BOUT CHARPENTE,BENOIT BARTHELOT DE BELLEFONDS (BARTHELOT DE BELLEFONDS),6 IMPASSE DU CANAL 93460 GOURNAY-SUR-MARNE,93460,GOURNAY-SUR-MARNE,93,Île-de-France,43.91A,53529964800027,"https://horaires.lefigaro.fr/93460/Gournay-sur-Marne/Bois-2-Bout-Charpente-Gournay-sur-Marne-6-Impasse-Du-Canal,1448969.html",,0459951161,sirene
CCMM,,29 AVENUE DU GENERAL GALLIENI 93380 PIERREFITTE-SUR-SEINE,93380,PIERREFITTE-SUR-SEINE,93,Île-de-France,43.91A,53536604100015,,,0422900022,sirene
ARNOLD,,221 RUE LA FAYETTE 75010 PARIS,75010,PARIS,75,Île-de-France,43.91A,51307953300024,https://www.arnold.fr/,,0968929232,sirene
AGOSSOU SOGLO (LA RENAISSANCE),AGOSSOU SOGLO (SOGLO),7 QUAI DE LA CROIX BLANCHE 77670 SAINT-MAMMES,77670,SAINT-MAMMES,77,Île-de-France,43.91A,52277035300012,,,,sirene
JAMES GALE,JAMES GALE (GALE),74 RUE DU GENIE 94400 VITRY-SUR-SEINE,94400,VITRY-SUR-SEINE,94,Île-de-France,43.91A,52290449900012,,,,sirene
ART'COUV,SANDY NAUD,191 CHEMIN DES POSTES 93190 LIVRY-GARGAN,93190,LIVRY-GARGAN,93,Île-de-France,43.91A,52326278000019,https://entreprises.lagazettefrance.fr/entreprise/art-couv-523262780,,,sirene
LIGNOBAT,LAURENT ACZEL (ACZEL),102 RUE DE LA LOUVE 77000 VAUX-LE-PENIL,77000,VAUX-LE-PENIL,77,Île-de-France,43.91A,52378343900012,https://mairie-vaux-le-penil.fr/app/uploads/2025/01/reflets146.pdf,,0100929094,sirene
ION SBARCEA,ION SBARCEA,148 AVENUE FRANKLIN 93320 LES PAVILLONS-SOUS-BOIS,93320,LES PAVILLONS-SOUS-BOIS,93,Île-de-France,43.91A,52392266400033,https://edecideur.com/sirene/523922664-sbarcea-ion-148-av-franklin-93320-les-pavillons-sous-bois.html,,,sirene
JORGE RIBEIRO,JORGE RIBEIRO,21 RUE L’OUCHE AUX VERDUNS 77430 CHAMPAGNE-SUR-SEINE,77430,CHAMPAGNE-SUR-SEINE,77,Île-de-France,43.91A,52395542500013,,,,sirene
BOIS TUILES ET SOLEIL,MARC PITSILLIDES (PITSILLIDES),ZI DE LA DEMI LUNE 10 RUE GUTENBERG 95420 MAGNY-EN-VEXIN,95420,MAGNY-EN-VEXIN,95,Île-de-France,43.91A,52426615200015,https://www.menuiserie-charpente-mcb.fr/charpentiers/95355-magny-en-vexin/deafbiiidbadcahjbhj.htm,,0134673131,sirene
M E F,SILVINO MOREIRA,41 RUE ALFRED LEBLANC 91220 BRETIGNY-SUR-ORGE,91220,BRETIGNY-SUR-ORGE,91,Île-de-France,43.91A,50233134100011,,,,sirene
BRICE CECCALDI,BRICE CECCALDI,58 RUE VOLTA 75003 PARIS,75003,PARIS,75,Île-de-France,43.32A,42937540500041,https://rocketreach.co/brice-ceccaldi-email_24047635,,,sirene
LMG-MENUISERIE DU GLAIRET,,61 AVENUE FRANKLIN ROOSEVELT 77260 LA FERTE-SOUS-JOUARRE,77260,LA FERTE-SOUS-JOUARRE,77,Île-de-France,43.32A,41422807200024,,,,sirene
MAYGNAN FERMETURES,,PARC D'ACTIVITES DE LA GAR RUE LOUISE MICHEL 95570 BOUFFEMONT,95570,BOUFFEMONT,95,Île-de-France,43.32A,35236232100031,https://www.maygnan-fermetures.com/nous-contacter/,,0134390808,sirene
SOCIETE LECARPENTIER,ARNAUD GENETIN,13 RUE LOUIS GANNE 95430 AUVERS-SUR-OISE,95430,AUVERS-SUR-OISE,95,Île-de-France,43.32A,37881407300011,https://val-doise-province.cataloxy.org/firms/auvers-sur-oise/www.verandas-lecarpentier.fr.htm,,,sirene
ARTMENUI DECO,KARELLE PERNOT (BREGEOT),ZAEC DE L'ORMEAU 9 RUE REAUMUR 77380 COMBS-LA-VILLE,77380,COMBS-LA-VILLE,77,Île-de-France,43.32A,38854450400052,https://batiment.e-pro.fr/seine-et-marne/artmenui-deco_f497393,,0448326497,sirene
MAT DECOR,MATHIEU HERBELIN,67 AVENUE DE VERDUN 77470 TRILPORT,77470,TRILPORT,77,Île-de-France,43.32A,81830873600011,https://www.cylex-locale.fr/entreprises/mat-decor-14375322.html,,,sirene
IMMODESIGN AGENCEMENT,FRANCK FLEURIMONT,2 RUE LEON BOURSIER 92400 COURBEVOIE,92400,COURBEVOIE,92,Île-de-France,43.32A,40341177000056,https://www.cylex-locale.fr/entreprises/immodesign-agencement-11831029.html,,,sirene
FENETRES ET FERMETURES ESSONNE SUD (F.F.E.S),KÉVIN GUEUDIN,2 B CHEMIN DES LOUIS BLANCS 91310 LINAS,91310,LINAS,91,Île-de-France,43.32A,99189546700017,,,0184801212,sirene
YVELIN FERMETURES,,32 AVENUE DES PAITIS 78680 EPONE,78680,EPONE,78,Île-de-France,43.32A,43993081900024,,,,sirene
LES MENUISERIES PARISIENNES (LMP),CORINNE CAVUS (LE MAT),181 AVENUE JEAN JAURES 92140 CLAMART,92140,CLAMART,92,Île-de-France,43.32A,75053887800059,,,0479145736,sirene
SOC JOEL FEAU CIE,ANGELIQUE LEBORGNE (FEAU),NUM VOIE 7A9 7 RUE LAUGIER 75017 PARIS,75017,PARIS,75,Île-de-France,43.32A,78467719700013,https://www.monartisan.info/pro-soc-joel-feau-cie-78467719700021,,0478467719,sirene
MENU DU BOIS,ST DRUSIS,9 ALLEE DES MEUNIERS 91370 VERRIERES-LE-BUISSON,91370,VERRIERES-LE-BUISSON,91,Île-de-France,43.32A,90508316800013,https://entreprises.lagazettefrance.fr/entreprise/menu-du-bois-905083168,,0508316800,sirene
MA BELLE FENETRE,FABRICE LEBLANC,150 AVENUE DU MAINE 75014 PARIS,75014,PARIS,75,Île-de-France,43.32A,88517490400015,https://entreprises.lagazettefrance.fr/entreprise/ma-belle-fenetre-885174904,,,sirene
BERNARD SOLVET (ODYSEE),BERNARD SOLVET (SOLVET),23 SQUARE LES BRUYERES 77140 SAINT-PIERRE-LES-NEMOURS,77140,SAINT-PIERRE-LES-NEMOURS,77,Île-de-France,43.32A,33856819900073,,,,sirene
MARC PICARD,MARC PICARD,18 LE BOIS FLEURI 77270 VILLEPARISIS,77270,VILLEPARISIS,77,Île-de-France,43.32A,32719127600036,https://entreprises.lefigaro.fr/monsieur-marc-picard-77/entreprise-327191276,,,sirene
TRECCANI ET FILS,BENOIT DEBARLE,160 CHAUSSEE JULES CESAR 95130 LE PLESSIS-BOUCHARD,95130,LE PLESSIS-BOUCHARD,95,Île-de-France,43.32A,31264395000024,https://www.menuiserie-treccani.com/,contact@menuiserie-treccani.com,0889153257,sirene
PAULO HENRIQUE FERREIRA DA COSTA,PAULO FERREIRA DA COSTA,APP 1103 17 RUE GABRIEL PERI 93270 SEVRAN,93270,SEVRAN,93,Île-de-France,43.39Z,88366675200018,,,,sirene
YOUNA SROUSSI,YOUNA SROUSSI,35 RUE D'ESTIENNE D'ORVES 92400 COURBEVOIE,92400,COURBEVOIE,92,Île-de-France,43.39Z,88858372100012,,,0479145736,sirene
JRENOV,JOAO RODRIGUES (RODRIGUES),7 ALLEE DES MELITES 91150 ETAMPES,91150,ETAMPES,91,Île-de-France,43.39Z,89804261900012,,,0426190001,sirene
EGS (EGS),PAVEL COVRIG,10 ALLEE DES CHAMPS ELYSEES 91080 EVRY-COURCOURONNES,91080,EVRY-COURCOURONNES,91,Île-de-France,43.39Z,89350979400036,,,,sirene
JAROSLAW KUREK,JAROSLAW KUREK,33 RUE TOFFIER DECAUX 93500 PANTIN,93500,PANTIN,93,Île-de-France,43.39Z,51804579400022,,,0457940002,sirene
YVELINES SERVICE INDUSTRIE (YSERI),BLANCHOT CHRISTIAN GILBERT JEAN,6 AVENUE FERNAND LEFEBVRE 78300 POISSY,78300,POISSY,78,Île-de-France,43.39Z,32811712200049,,,,sirene
IURIE VICOL,IURIE VICOL,56 RUE LAENNEC 93700 DRANCY,93700,DRANCY,93,Île-de-France,43.39Z,91149254400026,,,,sirene
ATOUT RENOV,AMADOUMATELL SARR,ESPACE GODARD RTE NATIONALE 370 95500 GONESSE,95500,GONESSE,95,Île-de-France,43.39Z,82207116300015,https://atoutrenov.fr/,contact@atoutrenov.fr,0185001300,sirene
S.J.S.,,41-43 41 RUE DE CRONSTADT 75015 PARIS,75015,PARIS,75,Île-de-France,43.39Z,37930085800014,https://entreprises.lagazettefrance.fr/entreprise/s.j.s.-932433071,,,sirene
HEMERE (ATLAS / HEMERE),JEAN-YVES ABELARD (ABELARD),36 RUE SCHEFFER 75016 PARIS,75016,PARIS,75,Île-de-France,43.39Z,38023461700047,,,,sirene
GENTI,LAURENT GENTI,9-15 15 RUE DE SAUSSURE 75017 PARIS,75017,PARIS,75,Île-de-France,43.39Z,38469734800017,https://www.etsgenti.fr/,ets.genti@wanadoo.fr,0142672590,sirene
LEADER BAT,,MAIL BOXES 69 BOULEVARD SAINT-MARCEL 75013 PARIS,75013,PARIS,75,Île-de-France,43.39Z,42431055500018,https://www.monartisan.info/pro-sarl-leader-bat-52235720100014,,0418370003,sirene
K 2,ISABELLE VEUILLET (DROGUET),105-109 RUE DU FAUBOURG SAINT-HONORE 75008 PARIS,75008,PARIS,75,Île-de-France,43.39Z,43124814500069,,,,sirene
GUIMAT SERVICES,PHILIPPE ARLAUD,29 AVENUE HENRI BARBUSSE 93700 DRANCY,93700,DRANCY,93,Île-de-France,43.39Z,41442901900048,https://www.guimat-services.fr/,,0186652130,sirene
SEBASTIEN MOT,SEBASTIEN MOT,30 RUE DU CAPITAINE FERBER 92130 ISSY-LES-MOULINEAUX,92130,ISSY-LES-MOULINEAUX,92,Île-de-France,43.39Z,41465447500022,https://entreprises.lefigaro.fr/monsieur-sebastien-mot-92/entreprise-414654475,,,sirene
MENUISERIE AGENCEMENT DECORATION (MAD),,CHEZ VIBROTELS 114 RUE DES MOINES 75017 PARIS,75017,PARIS,75,Île-de-France,43.39Z,41345185700028,,,,sirene
ESPACE INFO PISCINE (EIP),DANIEL STEIN (STEIN),2 RUE GUILLAUME COLLETET 94150 RUNGIS,94150,RUNGIS,94,Île-de-France,43.39Z,39103475800048,,,0347580004,sirene
GALLAO,CHRISTOPHE BOROWCZAK,45 RUE DE RETHONDES 95100 ARGENTEUIL,95100,ARGENTEUIL,95,Île-de-France,43.39Z,45247030500015,https://www.allbiz.fr/gallao_2z-01-34-11-09-09,,,sirene
OANA PINCOTAN (MANCAS),OANA PINCOTAN (MANCAS),6 RUE DU BRAS SAINT ARNOULT 93460 GOURNAY-SUR-MARNE,93460,GOURNAY-SUR-MARNE,93,Île-de-France,43.39Z,45259167000024,,,,sirene
ANDREI PANIBRATCHENKO,ANDREI PANIBRATCHENKO,6 RUE MYRHA 75018 PARIS,75018,PARIS,75,Île-de-France,43.39Z,43840714000013,https://entreprises.lefigaro.fr/monsieur-andrei-panibratchenko-75/entreprise-438407140,,0714000013,sirene
DELTA SUD,EVELYNE HENAULT,25 RUE LAVOISIER 75008 PARIS,75008,PARIS,75,Île-de-France,43.39Z,45327306200043,https://www.deltasud.eu/contact/,,0172746016,sirene
JON ZUBELDIA (A MI-BOIS),JON ZUBELDIA (ZUBELDIA),MAIXOENEA QUA LABIRY 64240 HASPARREN,64240,HASPARREN,64,Nouvelle-Aquitaine,43.91A,49134373700061,,,,sirene
CHARPENTE-MA ONNERIE DE LA BASSE MARCHE SARL (C.M.B.M.),STEPHANE THOUIN,5 ROUTE DES GATINES LE MONTEIL 87300 BLANZAC,87300,BLANZAC,87,Nouvelle-Aquitaine,43.91A,49861147400012,https://rubypayeur.com/societe/charpente-ma-onnerie-de-la-basse-marche-sarl-498611474,,0132754157,sirene
WILLIAM LAURENT,WILLIAM LAURENT (LAURENT),20 RUE PIERRE SEMARD 86530 NAINTRE,86530,NAINTRE,86,Nouvelle-Aquitaine,43.91A,49198108000014,,,0685919000,sirene
STEPHANE GELOS,STEPHANE GELOS (GELOS),MAISON AGUR XIBERUA QUARTIER ZOTZARBE 64120 JUXUE,64120,JUXUE,64,Nouvelle-Aquitaine,43.91A,49219359400024,https://entreprises.lefigaro.fr/monsieur-stephane-gelos-64/entreprise-492193594,,0492193594,sirene
ID TRAVAUX,ERIC DELLISTE,15 ROUTE DE ROYAN 17600 LUCHAT,17600,LUCHAT,17,Nouvelle-Aquitaine,43.91A,83173436300011,https://id-travaux-charpente.fr/,,0663327131,sirene
GEOFFREY RUGERY (B.H.A CONSTRUCTION),GEOFFREY RUGERY (RUGERY),4 IMPASSE DU RUSTE 33240 CADILLAC-EN-FRONSADAIS,33240,CADILLAC-EN-FRONSADAIS,33,Nouvelle-Aquitaine,43.91A,83086910300028,,,,sirene
JULIEN PICOT,JULIEN PICOT (PICOT),7 RUE HAUTE VILLEJESUS 16140 AIGRE,16140,AIGRE,16,Nouvelle-Aquitaine,43.91A,83441212400028,https://datalegal.fr/entreprises/834412124/,,0827169900,sirene
ANTHONY LONGO,ANTHONY LONGO,68 IMPASSE DES VERDIERS 40990 SAINT-PAUL-LES-DAX,40990,SAINT-PAUL-LES-DAX,40,Nouvelle-Aquitaine,43.91A,84909625000014,https://www.bottin.fr/fiche-locale/bajdjjfcbaffejfdbigb--anthony-longo-anthologi-c--st-paul-les-dax.htm,,0633255882,sirene
EDOUARD MERLET (EDOUARD MERLET CHARPENTE COUVERTURE EIRL),EDOUARD MERLET (MERLET),12 RUE DE LA TOUR 24230 LAMOTHE-MONTRAVEL,24230,LAMOTHE-MONTRAVEL,24,Nouvelle-Aquitaine,43.91A,81843876400024,,,,sirene
JONAS MILLE,JONAS MILLE (MILLE),132 RTE DE PITEOU 40550 LEON,40550,LEON,40,Nouvelle-Aquitaine,43.91A,81442311700039,https://entreprises.lefigaro.fr/monsieur-jonas-mille-65/entreprise-814423117,,,sirene
VERSAILLES CONSTRUCTION,GUILLAUME VERSAILLES,6 CAMI DEU CASTET 64350 MASPIE-LALONQUERE-JUILLACQ,64350,MASPIE-LALONQUERE-JUILLACQ,64,Nouvelle-Aquitaine,43.91A,81920961000016,https://www.versaillesconstruction.fr/,,0907408432,sirene
LAVEAU,AURELIE BONNEAU (BONNEAU),454 ROUTE DE LA FRAISSE 33540 SAUVETERRE-DE-GUYENNE,33540,SAUVETERRE-DE-GUYENNE,33,Nouvelle-Aquitaine,43.91A,82092643400011,https://www.allbiz.fr/sarl-laverie-l-o-a-06-73-24-40-35,,,sirene
C.S.B.M,PIERRE LEMAIRE,136 CHEMIN DU TRON 40380 POYARTIN,40380,POYARTIN,40,Nouvelle-Aquitaine,43.91A,84971608900032,https://entreprises.lagazettefrance.fr/entreprise/c.s.b.m-849716089,,,sirene
ARCJ CHARPENTE COUVERTURE,CARLOS DE AMORIM RAMOS (DE AMORIM RAMOS),LAVIGNOLLE DE SALLES 3 ROUTE DE LAVIGNOLLE 33770 SALLES,33770,SALLES,33,Nouvelle-Aquitaine,43.91A,79313849600013,,,0659478766,sirene
HORIZON BOIS 24,,LE BALEYTIER 24420 SARLIAC SUR L'ISLE,24420,SARLIAC SUR L'ISLE,24,Nouvelle-Aquitaine,43.91A,80212319000018,https://boncharpentier.fr/24/sarliac-sur-l-isle/horizon-bois-24-2ho,,0216253090,sirene
MICKAEL DE SOUSA,MICKAEL DE SOUSA (DE SOUSA),57 CHEMIN DE L'AOUGAROT 64410 CABIDOS,64410,CABIDOS,64,Nouvelle-Aquitaine,43.91A,91771394300012,https://entreprises.lefigaro.fr/monsieur-mickael-de-sousa-64/entreprise-917713943,,,sirene
CHARPENTES ET CONSTRUCTIONS BOIS CORREZIENNES (C.C.B.C),MATTHIEU HAAKMAN,2 IMPASSE DU TIED 19000 TULLE,19000,TULLE,19,Nouvelle-Aquitaine,43.91A,98953853300013,,,,sirene
GATITOIT,JULIEN RACAUD,3 ROUTE DE LA SAUNERIE 79220 CHAMPDENIERS,79220,CHAMPDENIERS,79,Nouvelle-Aquitaine,43.91A,93388875200013,https://entreprises.lefigaro.fr/gatitoit-79/entreprise-933888752,,,sirene
ARTISAN CHARPENTIER COUVREUR (ARTISAN CHARPENTIER COUVREUR) (A.C.C),JULIEN BEAUDIMENT,13 RUE DE LA GASCONHA 40160 PARENTIS-EN-BORN,40160,PARENTIS-EN-BORN,40,Nouvelle-Aquitaine,43.91A,84228442400012,,,,sirene
ROBERT SARFATI,ROBERT SARFATI (SARFATI),59 RUE DU POUJEAU 33290 BLANQUEFORT,33290,BLANQUEFORT,33,Nouvelle-Aquitaine,43.32A,88365841100011,,,0288168300,sirene
PASCAL TREMOULET,PASCAL TREMOULET (TREMOULET),LE DOUBLE 24220 BEYNAC-ET-CAZENAC,24220,BEYNAC-ET-CAZENAC,24,Nouvelle-Aquitaine,43.32A,51453830500012,https://entreprises.lefigaro.fr/monsieur-pascal-tremoulet-24/entreprise-514538305,,,sirene
ROLAND FEYTOUT,ROLAND FEYTOUT (FEYTOUT),7 RUE SAINT LOUIS 24680 GARDONNE,24680,GARDONNE,24,Nouvelle-Aquitaine,43.32A,32934369300050,"https://www.net1901.org/entreprise/ROLAND-FEYTOUT,32934369300050.html",,0465903036,sirene
SARL VERGNAUD PERE ET FILS,DOMINIQUE VERGNAUD,16 RUE DU 11 NOVEMBRE 1918 86460 AVAILLES-LIMOUZINE,86460,AVAILLES-LIMOUZINE,86,Nouvelle-Aquitaine,43.32A,32954428200018,https://entreprises.lefigaro.fr/sarl-vergnaud-pere-et-fils-86/entreprise-329544282,,,sirene
MENUISERIE PARENTISSOISE SARL (MENUISERIE PARENTISSOISE),ERIC AUDRAIN (AUDRAIN),RUE DE CHATRY 40160 PARENTIS-EN-BORN,40160,PARENTIS-EN-BORN,40,Nouvelle-Aquitaine,43.32A,32349170400017,,,,sirene
SOC GILBERT PAQUET,DOMINIQUE PAQUET,LES PERRIERES 87460 SAINT-JULIEN-LE-PETIT,87460,SAINT-JULIEN-LE-PETIT,87,Nouvelle-Aquitaine,43.32A,34747070000035,https://entreprises.lagazettefrance.fr/entreprise/soc-gilbert-paquet-347470700,,0347470700,sirene
SARL MARTIN,CEDRIC CLUZEAU,VIEUX MAREUIL 11 B RUE DES DEUX LAVOIRS 24340 MAREUIL EN PERIGORD,24340,MAREUIL EN PERIGORD,24,Nouvelle-Aquitaine,43.32A,34798921200019,https://menuisier.tel/sarl-martin-1595013.html,,0553609277,sirene
ANDRE GEMELINI (RENOUX),ANDRE GEMELINI (RENOUX),19 LIEU DIT BERDOT 33390 ANGLADE,33390,ANGLADE,33,Nouvelle-Aquitaine,43.32A,32028828500036,https://prix-menuisier.fr/nouvelle-aquitaine/gironde/pugnac-33710/artisans/andre-gemelini-renoux-135105,,,sirene
JEAN-LOUIS PETRIQUE,JEAN-LOUIS PETRIQUE,1 RUE DE LA BASTIDE 64800 ASSON,64800,ASSON,64,Nouvelle-Aquitaine,43.32A,32048179900015,,,,sirene
FRANCOIS COUDREAU,FRANCOIS COUDREAU,127 BOULEVARD DE POITIERS 79300 BRESSUIRE,79300,BRESSUIRE,79,Nouvelle-Aquitaine,43.32A,31544172500019,https://entreprises.lefigaro.fr/monsieur-francois-coudreau-79/entreprise-315441725,,0494384766,sirene
FREDERIC SALEM,FREDERIC SALEM,LE BOURG 79210 VAL-DU-MIGNON,79210,VAL-DU-MIGNON,79,Nouvelle-Aquitaine,43.32A,42222204200018,https://entreprises.lefigaro.fr/monsieur-frederic-salem-79/entreprise-422222042,,,sirene
MICHEL DRON SARL,DENIS LEPINE,44 RUE ARISTIDE BRIAND 17580 LE BOIS-PLAGE-EN-RE,17580,LE BOIS-PLAGE-EN-RE,17,Nouvelle-Aquitaine,43.32A,42253413100046,,,0342253413,sirene
AGENCEMENT AQUITAINE MENUISERIE,,10 12 CHEMIN DE SABALCE 64100 BAYONNE,64100,BAYONNE,64,Nouvelle-Aquitaine,43.32A,42289623300018,https://www.posefenetres.fr/agencement-aquitaine-menuiserie-bayonne.html,,0261217016,sirene
MIROITERIE SUD GIRONDE,SERGE DELWASSE (DELWASSE),1084 RUE DE LA FERME DU CARBOUE 40000 MONT-DE-MARSAN,40000,MONT-DE-MARSAN,40,Nouvelle-Aquitaine,43.32A,52480181800013,https://batiment.e-pro.fr/landes/miroiterie-sud-gironde_f5567984,,0448326497,sirene
GES HABITAT,JUNIOR PAULIARD (PAULIARD),73 AVENUE PIERRE BUFFIN 47200 MARMANDE,47200,MARMANDE,47,Nouvelle-Aquitaine,43.32A,52764119500013,https://www.geshabitat.com/,geshabitat@orange.fr,0553641690,sirene
LECLERC MENUISERIES,CHRISTOPHE LECLERC,LE BAS MERIGNAC 87170 ISLE,87170,ISLE,87,Nouvelle-Aquitaine,43.32A,53234923000039,http://www.leclerc-menuiseries.fr/,,0232692477,sirene
LIMOBOIS INDUSTRIES,BENJAMIN BARRE (BARRE),LD RIGADOUX 16420 LESTERPS,16420,LESTERPS,16,Nouvelle-Aquitaine,43.32A,53286460000038,https://entreprises.lefigaro.fr/limobois-industries-16/entreprise-532864600,,,sirene
FENETRES LUZ (FENETRES & VERANDAS LUZ),BENOIT CLARYSSE,14 B ROUTE DE SAINT GENIS 17500 SAINT-GERMAIN-DE-LUSIGNAN,17500,SAINT-GERMAIN-DE-LUSIGNAN,17,Nouvelle-Aquitaine,43.32A,53338613200039,,,,sirene
GERBEAUD,DAVID GERBEAUD (GERBEAUD),1 LD EYMARD 33230 LAGORCE,33230,LAGORCE,33,Nouvelle-Aquitaine,43.32A,53348329300049,https://www.gerbeaud.pro/,sarlgerbeaud@orange.fr,0615933103,sirene
NATHALIE VAZQUEZ (GRARD) (BOIS ET METAL),NATHALIE VAZQUEZ (GRARD),120 AVENUE GEORGES CLEMENCEAU 40100 DAX,40100,DAX,40,Nouvelle-Aquitaine,43.32A,52953034700036,,,,sirene
DAMIEN CAMBON,DAMIEN CAMBON,LD LE BOUSQUET 47480 PONT-DU-CASSE,47480,PONT-DU-CASSE,47,Nouvelle-Aquitaine,43.39Z,79294954700014,https://entreprises.lefigaro.fr/monsieur-damien-cambon-47/entreprise-792949547,,,sirene
LUC LECOQ,LUC LECOQ,6 CHEMIN DES GASSINIERES 33380 MIOS,33380,MIOS,33,Nouvelle-Aquitaine,43.39Z,81010139400015,https://entreprises.lefigaro.fr/monsieur-luc-lecoq-33/entreprise-810101394,,0810101394,sirene
MANUEL MOLINA,MANUEL MOLINA,34 ROUTE DE L'ARGILEYRE 33113 SAINT-SYMPHORIEN,33113,SAINT-SYMPHORIEN,33,Nouvelle-Aquitaine,43.39Z,80367552900017,https://www.trombi.com/Personnes/Saint-Symphorien/Manuel-Molina-P-QF52U-P,,0899855319,sirene
MEHMET CELENK,MEHMET CELENK (CELENK),APPT 72 8 RUE PETRUS RUBENS 33150 CENON,33150,CENON,33,Nouvelle-Aquitaine,43.39Z,34537719600026,https://entreprises.lefigaro.fr/monsieur-mehmet-celenk-33/entreprise-345377196,,0734537719,sirene
FLOBLEU SARL,JEAN-FRANCOIS DUFRAISSE (DUFRAISSE),FARINIERAS 24140 ST MARTIN DES COMBES,24140,ST MARTIN DES COMBES,24,Nouvelle-Aquitaine,43.39Z,32943990500038,https://www.118712.fr/professionnels/X0JTXlZdGQY,,,sirene
IHSAN COSKUN,IHSAN COSKUN,BAT 5-APT 554 87 AVENUE JEAN JAURES 33270 FLOIRAC,33270,FLOIRAC,33,Nouvelle-Aquitaine,43.39Z,34201345500049,https://entreprises.lefigaro.fr/monsieur-ihsan-coskun-33/entreprise-342013455,,0134550004,sirene
AMENAGEMENTS PISCINES LOISIRS (APL),STANISLAS DE TYMOWSKI,RTE NATIONALE 89 33370 ARTIGUES-PRES-BORDEAUX,33370,ARTIGUES-PRES-BORDEAUX,33,Nouvelle-Aquitaine,43.39Z,40066408200015,https://datalegal.fr/entreprises/400664082/,agretec-carrebleu@agretec.net,0557340585,sirene
SOPEMI,CYRIL LAMARCHE (LAMARCHE),1 AVENUE DE LA CHENAIE 33127 MARTIGNAS-SUR-JALLE,33127,MARTIGNAS-SUR-JALLE,33,Nouvelle-Aquitaine,43.39Z,39538387000056,https://www.dnb.com/business-directory/company-profiles.sopemi.8938a3a6f65fccb9d8fc6a550543e0d4.html,,,sirene
EL3M,MR MUR ERIC ROBERT,6 B RUE DE RABANEAU 33440 AMBARES-ET-LAGRAVE,33440,AMBARES-ET-LAGRAVE,33,Nouvelle-Aquitaine,43.39Z,38911556900045,https://www.infobel.com/fr/france/el3m/ambares_et_lagrave/FR100882153-0556389163/businessdetails.aspx,,,sirene
